Region/Country/Area,,Year,Series,Tourism arrivals series type,Tourism arrivals series type footnote,Value,Footnotes,Source
28,Antigua and Barbuda,2016,Tourist/visitor arrivals (thousands),TF,,265,Excluding nationals residing abroad.;Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
28,Antigua and Barbuda,2017,Tourist/visitor arrivals (thousands),TF,,247,Excluding nationals residing abroad.;Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
28,Antigua and Barbuda,1995,Tourism expenditure (millions of US dollars),,,247,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
28,Antigua and Barbuda,2005,Tourism expenditure (millions of US dollars),,,309,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
28,Antigua and Barbuda,2010,Tourism expenditure (millions of US dollars),,,298,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
28,Antigua and Barbuda,2015,Tourism expenditure (millions of US dollars),,,805,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
28,Antigua and Barbuda,2016,Tourism expenditure (millions of US dollars),,,804,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
28,Antigua and Barbuda,2017,Tourism expenditure (millions of US dollars),,,774,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
32,Argentina,1995,Tourist/visitor arrivals (thousands),TF,,2289,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
32,Argentina,2005,Tourist/visitor arrivals (thousands),TF,,3823,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
32,Argentina,2010,Tourist/visitor arrivals (thousands),TF,,5325,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
32,Argentina,2015,Tourist/visitor arrivals (thousands),TF,,5736,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
32,Argentina,2016,Tourist/visitor arrivals (thousands),TF,,6655,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
32,Argentina,2017,Tourist/visitor arrivals (thousands),TF,,6720,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
32,Argentina,1995,Tourism expenditure (millions of US dollars),,,2550,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
32,Argentina,2005,Tourism expenditure (millions of US dollars),,,3209,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
32,Argentina,2010,Tourism expenditure (millions of US dollars),,,5605,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
